pi,omega
0.001,0.8394512888511806
0.01108080808080808,0.8386030211212508
0.021161616161616163,0.8378192834997452
0.031242424242424245,0.8370719780440888
0.041323232323232324,0.8363413285030845
0.0514040404040404,0.8356227589040218
0.06148484848484849,0.8349108951466226
0.07156565656565657,0.8342040368782474
0.08164646464646465,0.833500562713254
0.09172727272727273,0.832799745118094
0.1018080808080808,0.832100733848482
0.11188888888888888,0.8314031345081832
0.12196969696969698,0.8307068132828664
0.13205050505050506,0.8300120817147307
0.14213131313131314,0.8293183955588973
0.15221212121212122,0.8286250737523266
0.1622929292929293,0.8279321872225556
0.17237373737373737,0.8272403019983139
0.18245454545454545,0.82654937886606
0.19253535353535353,0.8258587367392926
0.2026161616161616,0.8251687869024689
0.2126969696969697,0.8244794196476156
0.22277777777777777,0.8237900053111077
0.23285858585858585,0.8231003622210082
0.24293939393939395,0.8224104588126754
0.25302020202020203,0.821720512710969
0.2631010101010101,0.8210306096611719
0.2731818181818182,0.820340626931607
0.28326262626262627,0.8196506619481438
0.29334343434343435,0.8189604397410626
0.30342424242424243,0.8182703402674192
0.3135050505050505,0.8175804019409394
0.3235858585858586,0.8168908503209491
0.33366666666666667,0.8162013065781268
0.34374747474747475,0.8155118982492392
0.3538282828282828,0.8148219751473936
0.3639090909090909,0.8141321941283222
0.373989898989899,0.8134427515596626
0.38407070707070706,0.8127531242158783
0.39415151515151514,0.8120632123081206
0.4042323232323232,0.8113735870533475
0.4143131313131313,0.810683892812135
0.4243939393939394,0.8099942784595354
0.43447474747474746,0.8093053339471084
0.44455555555555554,0.8086159478765723
0.4546363636363636,0.8079261842034134
0.4647171717171717,0.8072365317368353
0.4747979797979798,0.8065467618048854
0.4848787878787879,0.8058581356286918
0.494959595959596,0.8051709385223159
0.5050404040404041,0.8044838225023165
0.5151212121212121,0.8037975047345794
0.5252020202020202,0.80311127185764
0.5352828282828282,0.8024253970881734
0.5453636363636364,0.8017400288696751
0.5554444444444444,0.8010555777516957
0.5655252525252525,0.800372364197047
0.5756060606060606,0.7996888381443704
0.5856868686868687,0.7990054134769894
0.5957676767676767,0.7983217692969593
0.6058484848484849,0.7976379969706244
0.6159292929292929,0.7969553895266943
0.626010101010101,0.7962731994889491
0.636090909090909,0.7955920318156227
0.6461717171717172,0.7949117605712245
0.6562525252525253,0.7942328712530476
0.6663333333333333,0.7935561666606651
0.6764141414141415,0.7928806097717197
0.6864949494949495,0.7922056369987689
0.6965757575757576,0.7915328974809487
0.7066565656565656,0.7908611731306818
0.7167373737373738,0.7901906280230039
0.7268181818181818,0.7895204489900979
0.7368989898989899,0.7888507263716811
0.746979797979798,0.7881812271726301
0.7570606060606061,0.7875122426747491
0.7671414141414141,0.7868440125679061
0.7772222222222223,0.7861766276378194
0.7873030303030303,0.7855122762696727
0.7973838383838384,0.7848506768378273
0.8074646464646464,0.7841896376326699
0.8175454545454546,0.7835304212691956
0.8276262626262626,0.7828728803968107
0.8377070707070707,0.7822168446455033
0.8477878787878788,0.781561393995613
0.8578686868686869,0.7809073162897388
0.8679494949494949,0.7802548430057393
0.878030303030303,0.7796032093854343
0.8881111111111111,0.7789521830762217
0.8981919191919192,0.7783018701032022
0.9082727272727272,0.7776524297532141
0.9183535353535354,0.7770038041204806
0.9284343434343434,0.7763570322799305
0.9385151515151515,0.7757134024268135
0.9485959595959595,0.7750705572405057
0.9586767676767677,0.7744288422797342
0.9687575757575758,0.7737886121843294
0.9788383838383838,0.7731496773073679
0.988919191919192,0.7725134805642887
0.999,0.7718963450554438
